age,sister,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180
60,89986,5,2,3,1,5,1,1,2,1,4,1,1,5,1,5,3,5,2,3,4,1,3,5,5,5,5,3,4,1,5,3,4,1,3,4,2,3,5,5,4,4,2,3,5,3,5,2,4,4,3,5,5,3,2,5,5,5,4,3,2,3,5,1,1,4
40,37950,2,1,5,5,1,4,1,5,1,5,4,2,5,5,1,4,5,4,3,2,4,2,1,1,1,5,2,5,1,5,5,4,3,2,2,5,1,5,1,3,1,2,4,2,5,4,5,1,1,4,5,1,5,1,4,2,5,4,5,2,2,4,5,4,4
30,117200,4,1,5,5,4,1,3,5,1,1,1,2,1,5,1,2,4,1,4,5,2,1,1,1,1,5,1,5,1,2,4,1,1,1,1,2,1,5,1,4,1,1,4,1,4,1,5,1,1,1,1,5,5,1,3,1,5,1,1,1,1,1,2,1,2
40,104452,5,4,5,4,2,4,1,3,4,2,1,2,4,5,2,4,3,2,4,3,4,2,1,2,4,4,4,3,1,4,2,2,3,4,2,4,4,1,3,5,1,2,4,2,5,2,4,4,5,1,2,4,5,4,3,5,2,2,1,4,4,5,4,5,4
70,23709,5,5,5,5,5,2,4,4,4,5,5,4,4,5,2,4,5,4,2,4,2,4,2,2,4,5,2,4,1,5,5,1,2,4,2,5,4,2,5,5,4,2,5,2,5,4,4,2,2,2,2,2,5,1,4,5,2,5,4,2,4,4,4,2,2
70,51361,4,4,1,1,4,1,4,4,1,1,1,2,1,1,5,3,1,1,4,1,4,5,1,5,4,4,2,1,5,5,1,4,2,4,4,5,5,4,5,1,4,5,5,5,5,1,1,1,1,4,1,1,4,1,1,1,4,1,1,5,1,5,1,5,5
30,101419,5,2,4,2,1,1,1,5,1,2,1,1,5,4,1,2,5,5,3,5,4,1,1,1,1,5,4,5,1,1,1,4,1,4,2,5,4,5,2,5,1,5,2,5,5,1,5,1,1,1,2,4,5,1,1,5,5,1,5,1,5,5,1,5,4
50,23722,4,1,2,1,2,5,2,5,4,5,4,4,1,5,4,3,5,2,5,5,2,5,1,4,1,5,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,5,5,3,5,3,4,1,1,5,3,3,4,4,4,1,5,5,1,3,4,5,3,1,1
30,10168,4,1,2,4,5,5,1,4,2,5,2,2,4,5,2,4,5,4,3,2,2,2,1,1,2,3,2,4,1,4,4,2,3,4,2,4,2,3,4,4,1,4,4,4,5,2,5,4,4,2,3,1,5,1,4,5,5,1,3,4,3,2,4,5,3
30,83524,4,1,5,4,1,1,2,5,2,4,1,4,4,1,2,4,5,1,4,4,1,1,1,1,1,3,1,5,1,2,5,3,1,2,1,2,1,5,1,4,1,1,4,1,1,1,5,1,1,1,3,4,5,1,4,4,1,4,3,1,1,1,1,1,1
60,108278,4,1,3,5,1,1,1,5,3,5,3,4,4,5,1,3,5,3,3,5,3,1,2,2,1,3,3,4,2,2,4,3,3,3,5,3,3,3,3,4,2,3,3,3,3,1,3,1,4,1,3,4,5,5,3,5,5,1,3,1,3,4,4,4,3
60,23078,4,2,4,3,5,5,3,3,5,5,4,4,3,3,5,3,4,3,3,2,4,2,3,5,3,2,3,3,4,5,4,1,3,3,5,4,3,1,1,3,4,3,3,3,3,2,5,5,5,3,5,4,3,5,3,5,5,3,4,5,2,2,5,5,4
50,124883,5,2,1,4,1,3,1,5,1,2,1,4,2,5,1,3,5,5,5,5,1,1,1,4,1,3,3,5,1,5,4,1,3,3,2,2,1,1,5,5,1,1,4,3,5,1,5,1,1,3,4,5,3,1,5,5,2,1,5,2,4,5,1,2,2
70,8742,5,1,5,5,1,1,1,5,1,5,1,1,5,5,1,4,5,1,5,5,1,1,1,1,1,5,1,5,1,1,5,1,4,1,5,5,1,1,1,5,1,1,5,1,5,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,5,5,1,4,4
30,10369,4,1,4,2,2,2,2,4,1,5,1,1,2,5,2,2,5,2,4,4,4,1,1,1,4,3,2,2,1,4,5,1,3,2,1,2,1,5,1,2,1,1,4,1,5,2,4,1,4,1,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4
60,103187,5,3,4,4,5,4,1,3,4,5,4,5,4,4,5,2,5,4,4,4,4,2,3,2,5,2,2,5,1,5,2,2,4,2,5,5,5,5,5,5,1,5,4,2,5,5,4,5,5,3,5,4,5,1,2,5,5,1,4,5,5,5,5,5,4
70,117641,4,1,4,5,4,4,1,5,4,1,1,2,2,5,4,4,5,4,5,5,4,1,1,1,1,5,1,5,5,5,5,5,1,2,1,2,1,5,4,5,5,4,3,2,5,3,4,1,1,1,4,4,5,1,4,5,5,4,4,2,5,5,5,4,4
30,63665,2,2,1,4,4,4,2,5,2,4,1,4,2,5,5,4,5,4,4,5,2,1,1,1,5,5,2,4,1,1,4,1,1,4,2,4,2,5,1,5,1,1,4,1,4,2,5,1,1,2,4,4,4,2,2,4,1,1,4,4,4,4,4,1,2
50,44532,4,5,1,4,5,5,1,3,4,5,5,4,3,5,4,2,4,5,3,1,1,2,1,2,5,1,1,5,1,5,5,4,1,3,4,4,5,4,5,4,1,4,5,5,4,4,3,1,4,1,5,3,2,1,4,5,5,2,5,1,5,5,5,4,2
30,93350,4,1,5,5,1,4,5,5,4,5,1,4,4,4,4,4,5,4,2,5,2,1,1,1,3,5,4,5,2,4,5,3,1,4,5,4,4,4,4,5,2,5,4,1,5,1,5,4,5,1,5,4,5,1,4,4,5,1,5,1,3,4,5,4,4
40,124732,2,1,5,5,1,1,3,5,2,5,1,1,1,5,1,5,1,1,5,5,1,1,1,1,4,5,1,5,1,2,5,1,1,4,3,5,1,5,1,5,1,2,3,1,4,1,5,1,1,1,4,4,3,1,4,5,2,1,5,1,1,5,2,3,4
60,5345,1,1,3,4,1,3,4,5,2,5,1,4,1,1,2,2,5,4,3,4,2,1,1,1,2,5,3,4,1,2,5,1,1,2,1,2,1,5,2,5,1,1,1,1,5,1,2,1,1,1,2,2,4,1,4,4,2,2,5,1,2,2,2,2,2
60,80392,1,2,5,4,1,1,2,4,2,5,1,1,2,5,1,4,4,1,4,5,1,1,3,3,1,3,1,4,1,5,2,2,4,4,5,5,5,5,5,4,2,2,4,1,3,3,5,1,1,1,2,3,5,2,4,5,5,3,4,1,3,5,1,4,1
40,6141,2,1,3,2,3,1,1,4,3,2,2,4,1,3,1,3,3,3,1,3,2,3,1,3,3,3,3,1,1,2,1,1,1,2,3,4,2,5,3,3,1,1,3,3,5,1,1,3,1,1,4,4,5,4,2,3,3,3,3,3,1,2,4,5,3
50,94191,4,4,3,5,2,2,2,4,3,2,2,1,3,5,4,3,5,3,2,4,4,1,4,1,4,4,4,5,1,3,5,2,1,4,2,2,1,5,4,4,1,1,2,1,4,3,4,1,1,5,3,4,4,1,4,5,2,3,2,2,4,4,2,4,3
30,33704,1,1,5,5,5,2,5,5,5,4,1,1,1,5,4,4,5,1,5,5,2,2,1,4,4,5,2,5,1,4,2,1,1,4,1,2,1,5,1,5,1,1,4,4,5,1,4,1,5,1,1,1,5,1,4,5,4,2,5,1,1,5,1,4,4
30,94105,2,2,3,5,1,1,4,5,1,2,1,1,2,5,1,5,5,1,5,5,1,1,1,1,2,5,1,5,1,2,5,2,1,1,1,1,1,5,1,5,1,1,5,1,2,1,5,1,1,1,1,5,4,1,5,1,2,1,1,1,2,2,1,2,1
40,126317,2,1,5,2,4,2,1,5,4,2,2,1,1,4,2,1,1,2,1,1,1,1,1,2,4,5,1,1,1,4,2,2,1,2,1,5,2,5,2,2,1,1,3,4,5,4,4,1,5,1,2,2,4,1,2,4,1,1,1,1,1,4,2,4,4
70,106933,2,3,5,5,4,5,5,5,5,5,3,5,3,5,5,4,5,3,3,5,5,5,3,5,1,4,5,5,1,5,5,2,5,2,4,4,5,5,4,5,5,5,4,5,2,5,5,2,5,3,5,3,5,5,5,5,5,1,3,4,3,5,5,5,3
50,122621,5,1,4,4,4,3,2,4,3,1,1,4,4,1,4,5,5,4,4,5,3,2,1,1,4,3,1,4,2,4,4,1,1,4,1,2,1,5,1,5,4,4,3,2,4,1,5,1,1,1,3,4,5,1,3,4,2,1,5,1,1,4,4,4,1
70,68194,5,3,5,5,1,1,1,5,1,5,5,3,3,5,5,3,5,1,3,3,2,1,1,1,3,1,3,3,1,4,1,3,1,4,3,3,1,1,3,5,1,1,3,2,4,3,4,1,4,1,5,5,5,5,4,5,4,1,3,4,3,3,5,4,1
50,38022,5,1,4,5,1,3,1,4,1,5,1,1,1,5,1,3,5,2,5,5,4,1,1,1,2,3,1,5,1,3,5,1,4,2,2,5,1,4,1,4,4,1,4,4,5,1,5,1,1,1,4,3,5,1,1,5,2,4,3,2,4,5,1,4,4
70,24252,5,2,4,3,4,5,2,3,4,5,4,4,3,2,5,3,3,3,3,4,4,4,1,4,2,3,3,3,2,5,5,4,1,3,5,3,4,3,4,3,2,1,3,4,4,3,4,3,1,5,5,4,5,5,5,5,5,3,4,5,3,5,4,5,4
30,30011,4,3,4,5,3,2,3,4,4,3,4,1,2,5,1,3,5,3,3,5,5,3,1,4,4,5,3,4,1,4,5,2,2,3,2,4,4,5,2,2,1,5,4,2,4,3,4,2,1,1,5,2,5,1,5,5,5,3,4,4,4,5,5,4,2
60,26550,4,1,5,4,1,1,2,3,4,5,2,2,1,5,1,3,5,2,3,5,5,1,1,1,4,3,5,5,1,2,4,1,1,2,3,2,1,2,2,5,1,1,2,2,5,2,5,1,2,3,3,2,5,1,3,5,1,2,5,2,3,5,1,5,3
40,57126,2,1,1,1,1,1,2,4,1,1,1,1,1,5,1,4,5,1,4,4,1,1,1,1,2,5,1,5,2,1,2,1,1,1,1,1,1,5,1,5,1,1,1,1,5,1,4,1,1,4,1,3,4,1,5,5,1,1,2,1,1,1,1,1,1
60,74187,5,4,5,3,4,5,1,3,5,5,5,5,3,5,4,4,5,4,5,5,4,2,3,2,5,4,4,4,1,5,5,3,1,1,5,5,5,5,1,5,2,5,5,4,5,5,5,3,1,3,4,5,5,2,3,5,5,3,4,4,5,5,4,5,2
30,35201,5,4,4,5,1,2,1,5,2,5,1,4,1,5,2,4,5,1,2,4,1,1,1,1,2,4,1,5,2,2,5,1,1,2,1,2,1,5,2,4,1,1,4,2,2,2,5,4,2,1,2,4,5,1,2,4,2,5,2,1,4,5,1,3,1
30,126706,1,1,1,2,1,1,1,3,1,1,1,4,4,5,1,3,5,3,2,5,3,1,1,1,4,5,1,5,1,4,5,2,5,1,1,1,1,5,1,5,3,5,3,4,5,1,3,1,1,1,1,4,5,1,4,5,1,5,3,1,5,5,1,5,5
50,98881,5,3,5,4,3,5,4,4,5,5,4,5,4,5,4,3,4,2,5,4,4,1,1,4,5,4,1,4,1,4,4,4,3,5,2,4,4,5,4,4,4,5,4,4,5,4,5,4,2,1,5,4,5,5,5,4,5,1,4,2,2,2,3,5,3
50,82112,5,3,4,4,5,5,2,2,2,5,4,4,5,5,5,3,5,5,3,4,2,1,1,4,4,4,3,4,1,5,4,4,3,3,5,4,4,3,4,5,3,1,5,4,4,4,3,2,4,1,4,4,4,3,2,5,4,2,5,4,4,5,4,5,4
30,45506,3,3,2,4,3,3,3,3,3,2,2,2,2,4,3,4,4,3,3,2,2,2,1,1,2,3,3,3,3,2,3,3,1,3,1,3,2,4,3,4,1,3,4,2,2,3,3,1,1,1,1,3,3,1,3,2,3,2,4,2,3,2,2,3,2
60,82244,4,3,5,5,5,2,2,3,5,4,4,5,4,4,2,2,5,2,1,4,5,2,1,1,2,5,5,5,2,4,5,2,1,2,2,5,4,4,3,3,1,4,2,4,5,3,4,1,2,1,4,2,4,5,3,5,4,2,2,2,4,4,5,4,4
30,93252,4,1,4,5,1,4,1,5,1,4,1,1,1,5,1,5,4,3,5,5,1,1,2,1,2,3,1,5,1,4,5,1,2,4,1,1,4,5,1,5,1,1,5,1,4,1,5,2,4,3,3,4,4,1,5,2,4,1,4,2,3,4,3,4,2
40,35709,2,1,4,5,1,3,1,5,4,1,1,4,1,5,1,2,3,1,5,5,3,1,1,1,2,3,1,5,1,1,5,1,1,1,1,1,1,5,4,5,1,1,5,1,5,1,5,1,4,5,4,4,5,1,5,4,1,1,5,1,4,2,4,2,5
30,67708,5,1,2,5,1,1,3,5,1,2,1,1,4,5,1,3,4,1,3,5,1,1,1,1,1,5,1,3,1,4,4,2,1,1,2,1,2,5,4,3,1,1,3,2,2,1,3,2,1,1,2,1,4,1,3,4,5,2,3,1,3,2,1,3,2
40,13460,3,2,4,3,4,4,3,1,3,4,4,4,3,4,5,3,3,2,2,4,4,3,2,2,4,5,2,4,1,5,2,1,2,2,2,4,4,3,5,4,2,4,4,4,4,3,3,4,3,3,4,4,4,1,1,5,2,3,3,4,4,4,2,4,4
70,79904,5,4,5,5,3,4,3,2,5,4,5,5,5,4,2,4,2,4,2,2,3,1,2,1,2,4,5,5,1,1,4,2,1,1,1,4,4,5,5,5,2,1,2,3,4,4,3,2,2,2,1,1,4,2,3,5,2,1,4,1,4,5,3,5,3
30,74059,5,4,5,5,1,1,1,3,3,4,4,5,1,5,3,5,5,3,5,4,4,1,1,1,5,5,5,5,1,4,3,1,1,1,1,3,2,5,2,5,1,3,5,2,4,1,4,2,1,3,1,5,4,5,5,5,5,2,4,1,2,4,4,2,4
60,36324,5,4,5,4,4,5,3,3,5,2,4,5,3,5,5,1,5,2,4,5,3,2,3,1,2,1,1,1,1,5,4,4,4,4,1,5,1,5,3,5,1,1,2,5,5,2,3,1,1,1,1,4,1,1,3,5,5,1,4,5,5,5,4,5,5
30,17557,2,2,3,2,1,2,2,4,2,2,1,4,1,5,1,3,5,1,4,5,4,1,1,1,4,5,3,5,2,3,5,1,4,4,1,2,2,5,1,5,1,1,5,1,3,1,5,4,4,4,2,4,5,1,4,3,1,1,3,1,3,2,1,2,1
60,105935,4,2,4,5,4,2,2,4,2,5,2,4,4,5,2,4,4,2,4,4,2,2,2,1,4,4,2,5,2,5,2,2,4,2,2,4,2,5,5,4,2,5,4,2,5,4,2,4,2,1,4,4,5,2,4,5,2,2,4,2,2,4,5,3,2
40,35435,4,2,4,5,4,4,2,5,2,4,2,2,1,5,4,4,5,4,4,5,4,2,1,2,5,5,2,4,2,4,5,2,1,2,5,5,2,4,2,4,1,4,4,1,5,4,4,4,2,1,4,4,5,1,4,5,5,4,2,4,2,4,2,2,2
70,98238,4,3,4,5,3,5,1,4,1,4,1,3,3,5,2,3,2,2,5,5,4,2,3,1,4,3,3,5,1,4,3,3,2,4,1,5,2,1,1,5,2,1,4,1,5,2,5,2,1,2,4,5,5,2,5,5,5,1,3,1,4,5,3,4,3
40,41736,5,2,5,5,1,3,1,4,3,3,2,1,2,3,3,3,3,1,3,4,2,1,1,1,2,5,1,3,1,1,2,3,3,4,2,3,2,5,1,4,3,3,5,2,4,2,3,2,2,1,4,3,3,4,4,3,5,1,3,2,3,4,3,4,1
50,15948,4,1,5,4,4,5,4,4,3,3,4,2,4,5,2,4,5,3,5,4,1,2,1,2,4,4,4,5,1,2,2,4,2,4,3,4,1,5,2,5,1,2,4,2,5,1,5,1,2,1,4,3,5,1,4,2,2,4,4,2,2,5,4,3,4
30,17707,4,1,4,4,1,2,1,5,3,4,1,2,2,5,1,2,4,3,5,5,4,1,1,3,2,5,4,5,1,4,5,1,1,1,1,2,1,5,1,5,1,1,4,1,5,1,5,1,1,3,1,4,3,1,1,2,1,1,3,1,3,4,4,2,1
80,56113,4,1,5,4,4,1,1,2,2,4,4,4,4,4,1,2,4,1,2,2,1,4,1,1,1,4,2,2,1,2,4,1,1,2,4,4,1,4,4,4,4,2,4,1,5,2,5,1,1,1,4,1,5,4,2,5,5,1,4,5,2,5,1,4,1
40,79571,5,1,5,5,5,1,1,5,5,5,1,5,5,5,5,5,5,4,4,5,1,4,1,1,5,5,1,5,1,4,5,2,3,1,1,4,1,5,1,5,3,2,5,2,5,1,5,1,1,3,5,5,5,1,5,3,5,5,3,1,5,5,1,5,1
30,81223,4,2,4,3,4,4,2,5,4,5,1,2,2,4,4,2,4,2,2,5,4,4,2,4,5,4,4,4,1,5,4,4,1,2,4,2,2,2,4,4,1,4,4,4,5,3,5,5,1,2,5,4,4,1,4,5,5,1,4,4,4,2,4,5,5
30,57359,2,1,3,4,2,3,1,5,3,5,4,4,2,4,3,2,4,4,4,4,1,1,1,2,3,3,1,5,2,5,3,2,3,2,2,4,4,4,4,4,1,1,5,2,5,2,5,2,5,1,5,4,5,2,5,5,2,2,5,5,3,2,4,4,4
40,85784,4,5,4,1,3,3,1,3,1,5,4,1,2,4,3,3,3,3,1,2,1,2,1,3,4,3,1,3,1,5,4,4,1,4,5,5,5,5,4,4,3,3,3,3,5,3,2,2,4,1,5,3,5,2,3,5,5,5,1,4,5,4,3,5,4
30,19847,4,2,2,5,1,4,1,4,4,4,2,4,1,5,1,4,5,2,4,5,1,1,1,1,1,4,4,5,1,2,5,1,4,4,4,4,4,2,1,5,1,1,4,4,1,1,5,2,4,1,5,4,2,1,4,5,2,2,5,4,4,4,4,2,4
40,126042,3,1,4,4,3,4,4,4,2,3,2,2,2,4,1,2,5,2,3,3,4,1,1,1,2,4,2,2,1,2,5,1,1,2,3,2,2,5,3,4,1,2,2,3,3,2,5,1,2,1,4,3,5,1,3,4,2,3,1,2,2,3,2,4,3
30,50562,4,1,1,1,5,1,1,4,1,2,3,1,1,5,4,3,5,4,1,4,1,3,3,1,1,3,3,4,1,2,5,1,1,2,5,4,2,5,1,1,1,2,2,1,1,1,4,1,1,1,1,2,4,1,2,5,1,1,1,1,2,2,4,4,1
70,108662,4,2,4,5,5,3,2,3,1,2,2,1,3,5,1,1,1,1,4,4,3,4,3,1,4,4,3,4,1,5,4,2,1,2,2,3,3,5,2,4,4,4,2,1,5,4,4,1,1,1,2,4,5,2,3,5,3,5,1,2,3,4,4,2,1
60,98068,4,2,4,4,2,3,2,3,4,4,4,3,3,4,4,3,4,4,3,3,3,2,2,2,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,2,3,4,5,2,2,2,3,4,3,4,4
30,126609,5,2,3,5,2,4,2,4,2,2,1,2,4,5,2,4,4,1,4,5,2,1,3,1,3,3,1,5,2,4,5,2,1,2,1,3,1,5,3,4,2,4,4,4,4,4,5,1,2,1,4,5,5,1,4,3,4,4,4,4,5,5,5,4,4
